公司id,职位名称,工作年限,学历,职位性质,薪资,融资状态,行业领域,招聘岗位id,公司优势,公司规模,公司标签,所在区域,技能标签,公司经度,公司纬度,公司全名
30448,Android开发工程师,1-3年,本科,全职,8k-12k,B轮,移动互联网,227236,共同成长，靠谱期权，多方位福利,15-50人,"['技能培训', '绩效奖金', '年度旅游', '岗位晋升']",南山区,"['iOS', '移动端']",,,深圳市卓越创想科技有限公司
23291,高级Android开发工程师,3-5年,本科,全职,18k-30k,上市公司,"移动互联网,硬件",4208834,"高成长,多福利,多年终",500-2000人,"['节日礼物', '与大牛共事', '福利健全', '五险一金']",南山区,"['移动端', 'Java', 'opengl']",113.951672,22.540834,厦门美图之家科技有限公司
142794,Android开发工程师,不限,本科,全职,15k-25k,上市公司,"电子商务,移动互联网",4137458,"六险一金,年终奖,团队旅游,福利多多",500-2000人,[],南山区,"['高级', '移动端', 'Java']",113.942704,22.548217,速联（深圳）科技有限公司
18971,Android开发工程师,1-3年,本科,全职,10k-15k,不需要融资,移动互联网,2651508,"领导大牛,年终奖金,绩效激励,年度旅游",2000人以上,"['带薪年假', '午餐补助', '年底双薪', '年终分红']",南山区,"['信息安全', '电商', 'Java', '移动端']",113.952696,22.530438,深圳传音控股有限公司
158361,安卓系统开发,1-3年,大专,全职,10k-15k,不需要融资,硬件,4181876,"多次调薪,周末双休,节日福利",50-150人,[],南山区,"['智能硬件', '软件开发', 'C++', 'Android', 'Java']",113.949101,22.541117,深圳市哎哟不错机器人科研有限公司
324093,Android开发工程师,1-3年,大专,全职,10k-12k,不需要融资,"移动互联网,金融",4193011,"海外项目,上升空间,地铁2分钟",50-150人,"['""""']",南山区,"['C++', 'iOS']",113.964793,22.569991,一拍科技（深圳）有限公司
251271,安卓开发,3-5年,大专,全职,10k-15k,不需要融资,金融,3877061,"安卓,安卓开发,app开发,安卓程序",15-50人,"['年底双薪', '带薪年假', '下午茶', '每周体育活动']",南山区,"['Android', 'Java', 'iOS']",113.950153,22.550392,深圳市采薇投资信息服务有限公司
238979,Android开发工程师,3-5年,大专,全职,10k-15k,未融资,移动互联网,3478548,"五险一金,年终奖,各种福利,定期体检",50-150人,[],福田区,"['Java', '架构']",114.021205,22.531381,深圳前海纳鑫信息技术有限公司
36487,Android开发工程师,1-3年,本科,全职,8k-11k,不需要融资,移动互联网,4124694,"五险一金,免费班车,学习机会多",500-2000人,"['节日礼物', '免费班车', '带薪年假', '五险一金']",南山区,['移动端'],113.937186,22.573736,华通科技有限公司
258599,Android高级开发工程师,5-10年,大专,全职,10k-20k,天使轮,"移动互联网,O2O",3584313,"风口行业,薪资福利佳,股权奖金优,老板有魄力",少于15人,[],南山区,"['本地生活', '资深', 'Java', '移动端']",113.944969,22.535668,深圳市袋袋盈网络技术有限公司
5794,Android高级应用开发工程师,3-5年,本科,全职,13k-24k,未融资,电子商务,3818494,"国际视野,技术氛围,文化开放,弹性工作",500-2000人,"['五险一金', '通讯津贴', '带薪年假', '节日礼物']",福田区,"['软件开发', 'C++', 'Java']",113.993578,22.99368,深圳市万普拉斯科技有限公司
328533,android开发工程师,3-5年,本科,全职,12k-15k,不需要融资,"移动互联网,硬件",4164091,"弹性工作,帅哥美女,技术大牛,福利好",15-50人,"['""""']",南山区,"['智能硬件', 'C++', 'Java', 'iOS']",113.936103,22.544561,深圳市信通网优科技有限公司
276798,Android开发工程师,3-5年,本科,全职,12k-20k,天使轮,"移动互联网,其他",4121011,"扁平化管理,氛围好,技术大牛,期权",15-50人,"['绩效奖金', '领导好', '扁平管理', '股票期权']",南山区,"['教育', '视频', '直播', '社交', '架构']",113.94253,22.525064,深圳市天天学农网络科技有限公司
197480,Android开发工程师,3-5年,本科,全职,10k-20k,天使轮,移动互联网,3055874,"成长机会多,想象空间大",少于15人,"['领导好', '扁平管理', '管理规范', '技能培训']",南山区,"['C++', 'Java']",113.940923,22.522942,深圳悦智网络科技有限公司
62363,Android开发工程师,3-5年,本科,全职,15k-30k,上市公司,"生活服务,硬件",4097137,世界500,2000人以上,"['绩效奖金', '岗位晋升', '管理规范', '通讯津贴']",南山区,"['Java', '架构']",113.94679,22.556374,珠海市万翼网络科技有限公司
12745,Android,3-5年,本科,全职,15k-30k,C轮,"移动互联网,数据服务",392769,发展空间大，弹性工作，股票期权，待遇优厚,150-500人,"['五险一金', '带薪年假', '节日礼物', '岗位晋升']",南山区,['移动端'],113.953523,22.537017,深圳市英威诺科技有限公司
298681,Android开发工程师,1-3年,本科,全职,10k-20k,不需要融资,硬件,3930365,五险一金,150-500人,"['""""']",南山区,"['iOS', '移动端']",113.994039,22.535722,广东合一新材料研究院有限公司
47053,Android工程师,3-5年,本科,全职,10k-15k,不需要融资,电子商务,3970167,"办公环境优,团队氛围好,发展空间大,福利齐全",150-500人,"['节日礼物', '股票期权', '专项奖金', '带薪年假']",南山区,"['Java', 'iOS']",113.953455,22.541237,深圳市卖货郎信息技术有限公司
206327,Android开发工程师,1-3年,本科,全职,7k-10k,不需要融资,"移动互联网,医疗健康",4008762,"发展空间大,福利多,氛围融洽",15-50人,"['年轻活力', '年底双薪', '带薪年假', '定期体检']",南山区,"['信息安全', '医疗健康', '体育运动', '硬件制造', 'Java', '算法']",113.936704,22.525219,深圳甲田科技有限公司
51732,Android开发工程师,3-5年,本科,全职,15k-25k,D轮及以上,其他,1343462,项目奖金、福利齐全、弹性扁平,500-2000人,"['全球颠覆产品', '绩效奖金', '有理想有活力', '海外工作机会']",南山区,"['视频', '媒体', '音乐', 'C++', 'Java']",113.943166,22.525579,深圳市柔宇科技有限公司
143087,Android开发组长,5-10年,本科,全职,12k-18k,不需要融资,"移动互联网,教育",4206442,"阳光行业,股权配送",少于15人,"['午餐补助', '股票期权', '技术大牛', '华为']",南山区,"['移动端', 'Java', 'iOS']",113.951827,22.569065,深圳市牧马智慧教育科技有限公司
262842,Android 开发,3-5年,大专,全职,10K-13K,未融资,硬件,3642763,优秀员工可以有期权、年终奖金，项目奖金,15-50人,[],南山区,"['中级', '移动端']",113.964715,22.588767,深圳市易联视通技术有限公司
316690,中级开发工程师-前端（iOS/Android/H5,1-3年,本科,全职,6k-8k,不需要融资,移动互联网 数据服务,4079315,"五险一金,年底双薪,包住宿,团建活动",50-150人,[],福田区,"['移动端', 'js', 'web']",114.026885,22.532494,广州超飞信息科技有限公司
152659,Android 高级工程师,3-5年,本科,全职,8k-15k,未融资,"移动互联网,O2O",3152968,"上升空间大,发展平台广,薪资待遇好",15-50人,"['年底双薪', '带薪年假', '定期体检', '包吃包住']",宝安区,"['支付', '智能硬件', '地图', '中级']",113.91224,22.5605,深圳市陆陆畅科技有限公司
32862,Android开发工程师,不限,不限,全职,8k-10k,不需要融资,移动互联网,4002156,"职业前景好,氛围开放,周末双休,扁平管理",15-50人,"['扁平管理', '五险一金', '弹性工作', '带薪年假']",宝安区,"['C++', 'Java', 'iOS']",113.858346,22.583362,深圳市威臣科技互联网有限公司
65947,Android开发工程师（高级）,5-10年,本科,全职,15k-20k,不需要融资,"信息安全,文化娱乐",4142392,晋升空间,500-2000人,"['节日礼物', '带薪年假', '绩效奖金', '岗位晋升']",南山区,"['视频', '移动互联网', 'C++', 'iOS']",113.953863,22.531712,深圳市同为数码科技股份有限公司
50241,安卓开发工程师(华润项目－罗湖地王大厦),3-5年,大专,全职,15K-17K,未融资,"移动互联网,电子商务",4198146,双休 年终奖 六险一金 工作环境优越,2000人以上,"['节日礼物', '年底双薪', '带薪年假', '年度旅游']",罗湖区,"['高级', '中级', 'Android', '移动端']",114.11065,22.542724,信必优(深圳)信息技术有限公司
86758,安卓高级开发工程师,3-5年,本科,全职,20k-30k,不需要融资,"移动互联网,金融",4233181,"技术大牛,氛围好,综合券商,风口项目",50-150人,"['风口项目', '互联网金融', '海外综合券商', '市场蓝海']",南山区,"['金融', '中级', 'Android', 'Java', 'iOS']",0.0,0.0,青石经济信息咨询（深圳）有限公司
107682,安卓工程师,3-5年,本科,全职,8k-12k,不需要融资,"医疗健康,移动互联网",3913121,"平台好,五险一金,年度旅游,带薪年假",50-150人,"['年终分红', '绩效奖金', '带薪年假', '专项奖金']",宝安区,"['Android', '移动端']",113.926791,22.577142,深圳市双佳医疗科技有限公司
165212,Android APP开发工程师,3-5年,本科,全职,15k-18k,上市公司,数据服务,4167485,"五险一金,绩效奖金,股权激励,带薪年假",50-150人,[],福田区,"['信息安全', 'Java', 'iOS']",114.045391,22.562457,康美中药材数据信息服务有限公司
31699,android底层开发,1-3年,本科,全职,8k-12k,未融资,硬件,3547456,"挑战,机遇",15-50人,"['节日礼物', '股票期权', '绩效奖金', '年度旅游']",宝安区,"['视频', '高级', 'linux', '系统开发', 'OTT']",113.861186,22.571849,深圳市深智电科技有限公司
11885,android工程师(南山),3-5年,本科,全职,10k-20k,上市公司,企业服务,3851660,集团总部 大平台 福利好,2000人以上,"['五险一金', '通讯津贴', '带薪年假', '年底双薪']",南山区,"['C++', 'Java']",113.95544314,22.54207119,深圳世联行地产顾问股份有限公司
66099,MSTD040C-高级安卓开发工程师,3-5年,本科,全职,12k-24k,B轮,电子商务,3529275,弹性工作、五险一金、年终奖金,150-500人,"['带薪年假', '弹性工作', '年度旅游', '五险一金']",南山区,"['Android', 'Java']",113.939444,22.522611,深圳市启明星电子商务有限公司
16035,Android开发工程师,3-5年,本科,全职,8k-16k,不需要融资,"移动互联网,企业服务",100491,福利好，空间大，自由开放，绩效奖励,50-150人,"['节日礼物', '绩效奖金', '扁平管理', '管理规范']",宝安区,"['Java', '移动端']",113.866045,22.567504,深圳市蜂窝网络有限公司
336785,Android开发工程师,1-3年,大专,全职,5K-10K,未融资,电子商务 移动互联网,4240577,Android开发工程师,少于15人,"['""""']",龙岗区,['移动端'],114.069804,22.638183,乐清市爱优我趣网络科技有限公司
96694,android开发工程师,1-3年,本科,全职,10k-20k,未融资,移动互联网,4193141,互联网金融,150-500人,"['节日礼物', '年底双薪', '带薪年假', '绩效奖金']",南山区,[],0.0,0.0,深圳市温馨港湾互联网金融服务有限公司
158770,Android开发工程师,3-5年,本科,全职,14k-18k,不需要融资,"硬件,其他",4176325,"五险一金,周末双休,年终奖",500-2000人,"['年底双薪', '带薪年假', '通讯津贴', '定期体检']",南山区,"['地图', 'Java']",113.951336,22.538602,深圳市赋安安全系统有限公司
143777,安卓工程师,3-5年,本科,全职,10k-15k,天使轮,"移动互联网,企业服务",4202342,"双休,年底双薪,五险一金,定期体检",15-50人,"['技能培训', '领导好', '弹性工作', '五险一金']",南山区,"['高级', 'Android']",113.940008,22.540521,深圳市易晨虚拟现实技术有限公司
319027,Android 安卓工程师,1-3年,大专,全职,5k-10k,不需要融资,移动互联网 企业服务,4091280,"良好發展,年終獎金,5險1金",少于15人,[],福田区,"['中级', 'web前端', 'Java', 'html5']",0.0,0.0,伟烽（深圳）设计科技有限公司
115507,Android开发工程师,3-5年,大专,全职,9k-18k,未融资,企业服务,4197249,"发展空间,多次调薪,五险一金,人性化管理",50-150人,[],南山区,"['金融', '教育', '移动端', 'SDK', 'http']",113.924081,22.511611,深圳市艾捷森科技科开发有限公司
10941,高级android开发工程师,5-10年,本科,全职,20k-25k,上市公司,移动互联网,3868424,"丰厚年终奖,年度旅游,过节福利,下午茶",2000人以上,"['绩效奖金', '年终分红', '股票期权', '专项奖金']",南山区,['Java'],113.954321,22.537693,深圳和而泰智能控制股份有限公司
157404,安卓开发,1-3年,本科,全职,12k-18k,不需要融资,"移动互联网,社交网络",4160110,开发工程师,少于15人,[],福田区,"['游戏', 'Android', 'C++', 'Java']",114.055036,22.52153,深圳市盈谦体育信息科技有限公司
81446,android软件工程师,1-3年,本科,全职,6k-8k,不需要融资,其他,2867900,"六险一金,周末双休,福利待遇佳,年度体检",150-500人,"['节日礼物', '年底双薪', '带薪年假', '岗位晋升']",南山区,"['硬件制造', '中级', 'Java', '嵌入式', '移动端']",113.940391,22.567688,沈阳同方多媒体科技有限公司深圳分公司(同方国际有限公司）
60426,Android研发工程师,1-3年,大专,全职,8k-10k,未融资,移动互联网,3856042,"双休,五险一金,全勤奖",50-150人,"['技能培训', '节日礼物', '年底双薪', '带薪年假']",南山区,"['视频', 'iOS', '客户端']",113.946135,22.553055,深圳市励拓软件有限公司
23291,UI/UX设计师-社交App（Android优先）,1-3年,本科,全职,18k-35k,上市公司,"移动互联网,硬件",4215812,"国际化产品,竞争力薪资,初创团队,超大用户量",500-2000人,"['节日礼物', '与大牛共事', '福利健全', '五险一金']",南山区,"['社交', '交互', '移动端']",113.951672,22.540834,厦门美图之家科技有限公司
40701,Android开发工程师,1-3年,本科,全职,12k-15k,A轮,移动互联网,1662320,五险一金 弹性工作时间 无限零食 期权奖励,50-150人,"['节日礼物', '技能培训', '岗位晋升', '管理规范']",南山区,"['移动互联网', 'Java', '移动端', 'app', '应用']",,,深圳掌酷软件有限公司
181981,安卓开发工程师,1-3年,本科,全职,10k-18k,不需要融资,"金融,文化娱乐",3367811,"互联网产品,前沿技术,福利待遇",50-150人,[],福田区,"['中级', 'Android']",114.062476,22.534205,深圳市桐梦科技有限公司
334776,Android开发工程师,1-3年,大专,全职,6k-12k,未融资,移动互联网,4226958,"科技感十足,提供工作餐,扁平化管理,工作氛围好",15-50人,"['""""']",宝安区,"['软件开发', 'C++', 'Java']",113.82983,22.729181,深圳市蚂蚁雄兵物联技术有限公司
18207,Android开发工程师,3-5年,本科,全职,8k-12k,不需要融资,数据服务,3793073,"五险一金,年终奖,下午茶,团建",50-150人,"['年终分红', '绩效奖金', '股票期权', '专项奖金']",南山区,"['C++', '客户端']",113.932664,22.541497,深圳赛飞软件有限公司
147484,Android开发工程师,不限,本科,全职,10k-20k,上市公司,"移动互联网,硬件",4146415,"前装导航,周末双休",150-500人,"['年底双薪', '绩效奖金', '带薪年假', '定期体检']",南山区,[],113.955721,22.539496,北京远特科技股份有限公司深圳分公司
105966,高级Android开发工程师,3-5年,本科,全职,13k-25k,A轮,医疗健康,2771477,挑战,50-150人,"['股权激励', '大牛团队', '高薪请贤']",南山区,"['架构师', '移动端']",113.992872,22.542939,深圳碳云智能科技有限公司
117104,安卓工程师,1-3年,本科,全职,8k-12k,未融资,"移动互联网,教育",4232549,"薪资福利好,调薪机会多,晋升空间大,公司氛围好",50-150人,[],宝安区,['Android'],113.85498,22.60399,深圳市康索特软件有限公司
145486,高级Android开发工程师,5-10年,本科,全职,15k-30k,B轮,"移动互联网,硬件",2481379,"安卓,高性能,安卓市场",500-2000人,"['人工智能', '机器人', '午餐补助', '扁平化管理']",南山区,['移动端'],114.004639,22.595045,深圳市优必选科技有限公司
174417,Android开发工程师,1-3年,大专,全职,10k-15k,不需要融资,"移动互联网,电子商务",3460245,"薪资待遇高,福利好",50-150人,[],罗湖区,"['Java', 'iOS', 'C']",114.120208,22.579048,深圳市德钧盛世网络科技有限公司
319594,Android开发工程师,3-5年,大专,全职,15k-22k,不需要融资,金融,4159981,技术,15-50人,"['""""']",南山区,"['Java', 'iOS']",0.0,0.0,深圳市云未来区块链有限公司
22103,Android高级开发工程师,3-5年,本科,全职,15k-25k,B轮,"社交网络,数据服务",3309385,"五险一金,加班补助,年终双薪,股票期权",150-500人,"['技能培训', '节日礼物', '股票期权', '带薪年假']",福田区,"['Java', 'iOS', '移动端']",113.993578,22.99368,时代际客（深圳）软件有限公司
295004,安卓开发工程师,3-5年,本科,全职,10k-15k,未融资,"移动互联网,社交网络",3895949,"原始股,孝工资,年底分红,带薪年假",15-50人,"['""""']",罗湖区,"['中级', 'Android', 'Java', 'html5']",0.0,0.0,爱推（深圳）互联网科技有限公司
154860,Android开发经理,5-10年,本科,全职,15k-23k,未融资,移动互联网、金融,4128145,发展前景大,50-150人,"['节日礼物', '岗位晋升', '五险一金', '带薪年假']",南山区,"['专家', '资深', '高级', '移动端', '移动开发']",113.946176,22.547781,上海燕致网络科技有限公司深圳分公司
289076,安卓工程师,1-3年,本科,全职,10k-20k,不需要融资,"数据服务,硬件",4216621,"带薪年假,年底双薪,定期体检,员工旅游",50-150人,"['年底双薪', '专项奖金', '股票期权', '带薪年假']",南山区,"['Android', 'Java', 'iOS']",113.952696,22.530438,思力科（深圳）电子科技有限公司
55377,android软件开发工程师,3-5年,本科,全职,15k-25k,B轮,"移动互联网,硬件",4119955,"AI算法,人脸识别,C++,开源项目",150-500人,"['绩效奖金', '年底双薪', '股票期权', '午餐补助']",南山区,"['移动互联网', 'Java', 'iOS']",113.952696,22.530438,特斯联（北京）科技有限公司
294709,Android工程师,3-5年,本科,全职,15k-25k,天使轮,移动互联网,3914546,"五险一金,周末双休,年度旅游,公司氛围好",50-150人,"['股票期权', '极客精神', '新零售', '人工智能']",南山区,"['前端', 'Java', '架构']",113.934837,22.560367,深圳无境创新科技有限公司
55377,android软件开发工程师,3-5年,本科,全职,15k-25k,B轮,"移动互联网,硬件",4119955,"AI算法,人脸识别,C++,开源项目",150-500人,"['绩效奖金', '年底双薪', '股票期权', '午餐补助']",南山区,"['移动互联网', 'Java', 'iOS']",113.952696,22.530438,特斯联（北京）科技有限公司
31251,Android 开发工程师,1-3年,大专,全职,7k-10k,未融资,"移动互联网,硬件",4222258,"五险一金,员工旅游,年终奖金,绩效奖金",50-150人,[],南山区,"['智能硬件', 'Java']",113.917083,22.495897,深圳市领芯者科技有限公司
294709,Android工程师,3-5年,本科,全职,15k-25k,天使轮,移动互联网,3914546,"五险一金,周末双休,年度旅游,公司氛围好",50-150人,"['股票期权', '极客精神', '新零售', '人工智能']",南山区,"['前端', 'Java', '架构']",113.934837,22.560367,深圳无境创新科技有限公司
